1880	The journal Science is first published in the United States with financial backing from Thomas Edison	Cologne Cathedral is completed after construction began in 1248 632 years earlier
1881	The world's first regular electric tram service is started in Berlin by Siemens & Halske	The American Red Cross is established by Clara Barton
1882	Pyotr Ilyich Tchaikovsky's 1812 Overture debuts in Moscow	Polygamy is made a felony by the Edmunds Act passed by the United States Congress
1883	The Hong Kong Observatory is established	Oxygen is liquefied for the very first time
1884	The Dow Jones Transportation Average consisting of eleven transportation-related companies (nine railroads and two non-rail companies Western Union and Pacific Mail)  is created. The index is the oldest stock index still in use	Mitsubishi Heavy Industries was founded in Kyushu Island
1885	American inventor LaMarcus Adna Thompson patents a roller coaster	Professional football is legalized in Britain
1886	The first train load of oranges leaves Los Angeles via the United States transcontinental railroad	Karl Benz officially unveils the Benz Patent Motorwagen
1887	Construction of the iron structure of the Eiffel Tower starts in Paris France	The cornerstone of the new Stanford University in northern California is laid (the college opens in 1891)
1888	"The National Geographic Society is founded in Washington, D.C"	Hong Kong's Peak Tram begins operation
1889	"Rubber tire company Michelin is registered by Édouard and André Michelin in Clermont-Ferrand, France"	The first issue of The Wall Street Journal is published in New York City
1890	"The folding carton box is invented by Robert Gair, a Brooklyn printer who developed production of paper-board boxes in 1879"	Francis Galton announces a statistical demonstration of the uniqueness and classifiability of individual human fingerprints
1891	Stanford University in California opens its doors	The London–Paris telephone system officially opens
1892	Liverpool F.C. was established as a football club	Abercrombie & Fitch is established in Manhattan as an outfitter for the elite outdoorsman by David T. Abercrombie
1893	Rudolf Diesel receives a patent for the diesel engine	New Zealand becomes the first country in the world to grant women the right to vote
1894	Coca-Cola is sold in bottles for the first time	New Zealand enacts the world's first minimum wage law to take effect on January 1
1895	The first game of what will become known as rugby league football is played in England	"Daniel David Palmer performs the first chiropractic spinal adjustment,  on Harvey Lillard, whose complaint was partial deafness after an injury"
1896	H. L. Smith takes the first X-ray photograph	"The Ford Quadricycle,  the first Ford vehicle ever developed"
1897	The first electric bicycle invented by Hosea W. Libbey	Zhejiang University is founded in China
1898	Spanish–American War: The United States declares war on Spain	American pharmacist Caleb Bradham names his soft drink Pepsi-Cola
1899	Spanish rule ends in Cuba concluding 400 years of the Spanish Empire in the Americas	"German chemist Felix Hoffmann patents aspirin, and Bayer registers its name as a trademark"
1900	The United States Census estimates the country's population to be about 70 million people	Russia invades Manchuria
1901	"U.S. Steel is incorporated by industrialist J. P. Morgan, as the first billion-dollar corporation"	"U.S. Vice President Theodore Roosevelt utters the famous phrase, ""Speak softly and carry a big stick"", at the Minnesota State Fair"
1902	"The Electric Theatre, the first movie theater in the United States, opens in Los Angeles"	A newspaper cartoon inspires creation of the first teddy bear by Morris Michtom in the United States
1903	The first Tour de France bicycle race is held; Maurice Garin wins it	"The first box of Crayola crayons is made and sold for 5 cents. It contains 8 colors; brown, red, orange, yellow, green, blue, violet and black"
1904	"The distress signal CQD is established, only to be replaced 2 years later by SOS"	"For $10 million, the United States gains control of the Panama Canal Zone"
1905	"The Trans-Siberian Railway officially opens, after its completion on July 21, 1904"	"Albert Einstein submits for publication his paper ""On the Electrodynamics of Moving Bodies"", establishing his theory of special relativity (published September 26)"
1906	The Pure Food and Drug Act of 1906 is signed into law by U.S. President Theodore Roosevelt	SOS becomes an international distress signal
1907	The first taxicabs with taximeters begin operating in London	"UPS is founded by James E. (Jim) Casey in Seattle, Washington"
1908	A long-distance radio message is sent from the Eiffel Tower for the first time	"Wilbur Wright flies in France for the first time, demonstrating true controlled powered flight in Europe"
1909	"Construction begins on the RMS Titanic, at the Harland and Wolff Shipyard in Belfast"	"The United States Army Signal Corp Division purchases the world's first military airplane, a Wright Military Flyer, from the Wright brothers"
1910	William D. Boyce founds the Boy Scouts of America	The Earth passes through the tail of Halley's Comet
1911	"The Wuchang Uprising starts the Xinhai Revolution, that leads to the founding of the Republic of China"	Roald Amundsen's expedition reaches the South Pole
1912	Albert Berry is reported to have made the first parachute jump from a flying airplane	"Sinking of the RMS Titanic: RMS Titanic strikes an iceberg in the northern Atlantic Ocean and sinks with the loss of more than 1,500 lives. The wreck would not be discovered until 1985"
1913	The British Board of Film Censors receives the authority to classify and censor films	The Camel cigarettes are introduced by R. J. Reynolds in the United States (the first packaged cigarettes)
1914	"Ford Motor Company announces an eight-hour workday, and a daily wage of $5"	"The Signal Corps of the United States Army is formed, giving definite status to its air service for the first time"
1915	Georges Claude patents the neon discharge tube for use in advertising	The first United States coast-to-coast long-distance telephone call is facilitated by a newly invented vacuum tube amplifier
1916	"The British Royal Army Medical Corps carries out the first successful blood transfusion, using blood that had been stored and cooled"	"The toggle light switch is invented, by William J. Newton and Morris Goldberg"
1917	The Russian Provisional Government enacts women's suffrage	"Nakajima Aircraft Company, as predecessor of Subaru, a car manufacturing company in Japan, founded in Ota, Gunma Prefecture"
1918	"The ""Spanish flu"" (influenza) is first observed in Haskell County, Kansas"	"The ""Spanish 'flu"" becomes pandemic. Over 30 million people die in the following 6 months"
1919	Birth of the Commonwealth of the Philippines	"President of the United States Woodrow Wilson suffers a serious stroke, rendering him an invalid for the remainder of his life"
1920	"A pro wrestling match in which Joe Stecher defeats Earl Caddock in the United States is filmed for later viewing by cinema audiences, the oldest existing movie of professional wrestling"	The Spanish Flu ends with an estimate between seventeen million to fifty million dead. It would be the last global Pandemic until the Coronavirus of December 2019
1921	The Communist Party of China (CPC) is founded	The first BCG vaccination against tuberculosis is given
1922	"The year begins with the British Empire at its largest extent, covering a quarter of the world and ruling over one in four people on Earth"	The movie Nosferatu is released
1923	Greece adopts the Gregorian calendar	The Hollywood Sign is inaugurated in California (originally reading Hollywoodland)
1924	"GMT: A radio time signal is broadcast for the first time, from the Royal Greenwich Observatory"	American media company Metro-Goldwyn-Mayer (MGM) is founded in Los Angeles
1925	F. Scott Fitzgerald publishes The Great Gatsby	Mount Rushmore National Memorial is dedicated in South Dakota
1926	Land on Broadway and Wall Street in New York City is sold at a record $7 per sq inch; it is only affordable for four more years	"Robert H. Goddard launches the first liquid-fuel rocket, at Auburn, Massachusetts"
1927	"In Britain, 1,000 people a week die from an influenza epidemic"	"The Food, Drug, and Insecticide Administration (FDIA) is established as a United States federal agency"
1928	"British bacteriologist Frederick Griffith reports the results of Griffith's experiment, indirectly proving the existence of DNA"	Joseph Stalin launches the first five-year plan
1929	The comic strip hero Popeye first appears in Thimble Theatre	The Geneva Convention addresses the treatment of prisoners of war
1930	"The first FIFA World Cup starts: Lucien Laurent scores the first goal, for France against Mexico"	"Scotch Tape, invented by Richard Gurley Drew, is sold by the 3M company in the United States for the first time"
1931	"Albert Einstein begins doing research at the California Institute of Technology, along with astronomer Edwin Hubble"	Thomas Edison submits his last patent application
1932	John Cockcroft and Ernest Walton focus a proton beam on lithium and split its nucleus	James Chadwick discovers the neutron
1933	The London Underground diagram (designed by Harry Beck) is introduced to the public	Construction of the Golden Gate Bridge begins in San Francisco Bay
1934	"Manchuria becomes Manchukuo, following an invasion by the Japanese"	"The ""surgeon's photograph"" of the Loch Ness Monster, taken in Scotland"
1935	"The first canned beer is sold in Richmond, Virginia, by Gottfried Krueger Brewing Company"	U.S. President Franklin D. Roosevelt dedicates Hoover Dam
1936	Radium E (bismuth-210) becomes the first radioactive element to be made synthetically	Construction of Hoover Dam is completed in the United States
